correo,tipo_segmento,identificador_o_dominio,empresa_o_razon_social,provincia,ciudad
consultoria@celitecuador.com,Corporativo Empresarial,celitecuador.com,,,
consuper@ecua.net.ec,Corporativo Empresarial,ecua.net.ec,TOOLS-ECUA IMPORT CIA.LTDA.,TUNGURAHUA,IZAMBA
consytec@tie.cl,Corporativo Empresarial,tie.cl,,,
conta2@cintadossa.com,Corporativo Empresarial,cintadossa.com,BILEN S.A.,,
conta@ecuanros.com,Corporativo Empresarial,ecuanros.com,ECUANROS ECUADORIAN NEW ROSES SOCIEDAD ANONIMA,PICHINCHA,QUITO
conta@equiser.com.ec,Corporativo Empresarial,equiser.com.ec,,,
conta@galapagos-tours.com,Corporativo Empresarial,galapagos-tours.com,,,
conta@glamourec.com,Corporativo Empresarial,glamourec.com,,,
conta@mac-obras.com,Corporativo Empresarial,mac-obras.com,,,
conta_kimsa@kimsacorp.com.ec,Corporativo Empresarial,kimsacorp.com.ec,KIMSACORP S.A.,GUAYAS,GUAYAQUIL
contab1@homeroortega.com,Corporativo Empresarial,homeroortega.com,,,
contab3@neymercorp.com,Corporativo Empresarial,neymercorp.com,,,
contab@betatronicsa.com,Corporativo Empresarial,betatronicsa.com,,,
contab@clinicasantamaria.com.ec,Corporativo Empresarial,clinicasantamaria.com.ec,,,
contab@eos.med.ec,Corporativo Empresarial,eos.med.ec,,,
contab@gls.com.ec,Corporativo Empresarial,gls.com.ec,,,
contabildad@yestravel.com.ec,Corporativo Empresarial,yestravel.com.ec,,,
contabilidad-02@regisa.net,Corporativo Empresarial,regisa.net,,,
contabilidad-2@ats.net.ec,Corporativo Empresarial,ats.net.ec,,,
contabilidad-doc@fortius.com.ec,Corporativo Empresarial,fortius.com.ec,FORTIUS CIA.LTDA.,GUAYAS,ELOY ALFARO (DURAN)
contabilidad-ecuador@eximlicensing.com,Corporativo Empresarial,eximlicensing.com,EXIMECUADOR S.A.,,
contabilidad-gye@librimundi.com,Corporativo Empresarial,librimundi.com,,,
contabilidad.compras@estibesa.com,Corporativo Empresarial,estibesa.com,ESTIBESA COMPANIA ESTIBADORA S.A,GUAYAS,GUAYAQUIL
contabilidad.ec@belsol-latam.com,Corporativo Empresarial,belsol-latam.com,,,
contabilidad.ec@dydas.com,Corporativo Empresarial,dydas.com,,,
contabilidad.ec@dydasl.com,Corporativo Empresarial,dydasl.com,,,
contabilidad.ec@jw.org,Corporativo Empresarial,jw.org,,,
contabilidad.ecuador@grupocto.com,Corporativo Empresarial,grupocto.com,,,
contabilidad.ecuador@southamericantours.com,Corporativo Empresarial,southamericantours.com,SOUTHAMERICANTOURS GALAPAGOS S.A.,GALAPAGOS,PUERTO AYORA
contabilidad.ripoli@ecuaire.com,Corporativo Empresarial,ecuaire.com,ECUAIRE S.A.S.,GUAYAS,GUAYAQUIL
contabilidad.sofca@valad.net,Corporativo Empresarial,valad.net,LOS FERRES SA,,
contabilidad.valores@valad.net,Corporativo Empresarial,valad.net,"INMODIANA, INMOBILIARIA DIANA MARIA S.A.",,
contabilidad01@irvix.com.ec,Corporativo Empresarial,irvix.com.ec,IRVIX SA,PICHINCHA,QUITO
contabilidad1.ecuador@cargo-master.net,Corporativo Empresarial,cargo-master.net,CARGOMASTER DEL ECUADOR S.A.,,
contabilidad1@arkos.com.ec,Corporativo Empresarial,arkos.com.ec,,,
contabilidad1@citiwen.com,Corporativo Empresarial,citiwen.com,CITIWEN S.A.,GUAYAS,GUAYAQUIL
contabilidad1@condimensa.com.ec,Corporativo Empresarial,condimensa.com.ec,,,
contabilidad1@daumexcorp.com,Corporativo Empresarial,daumexcorp.com,HAULER SERVICES HAULERSER S.A.,,
contabilidad1@davmercorp.com,Corporativo Empresarial,davmercorp.com,DAVMERCORP S.A.,GUAYAS,GUAYAQUIL
contabilidad1@eljurihatari.com.ec,Corporativo Empresarial,eljurihatari.com.ec,,,
contabilidad1@endecots.com,Corporativo Empresarial,endecots.com,ENDECOTS S.A.,GUAYAS,GUAYAQUIL
contabilidad1@estuardito.ec,Corporativo Empresarial,estuardito.ec,,,
contabilidad1@exorban.ec,Corporativo Empresarial,exorban.ec,EXORBAN S.A.,EL ORO,SANTA ROSA
contabilidad1@fishdive.ec,Corporativo Empresarial,fishdive.ec,,,
contabilidad1@galagents.com,Corporativo Empresarial,galagents.com,GALAPAGOS MARITIME AGENTS GALAGENTS S.A.,GALAPAGOS,PUERTO AYORA
contabilidad1@gdingenierias.com,Corporativo Empresarial,gdingenierias.com,,,
contabilidad1@grafisum.com,Corporativo Empresarial,grafisum.com,GRAFICAS Y SUMINISTROS GRAFISUM CIA. LTDA.,AZUAY,CUENCA
contabilidad1@indubrassa.com.ec,Corporativo Empresarial,indubrassa.com.ec,,,
contabilidad1@islasdefuego.com,Corporativo Empresarial,islasdefuego.com,,,
contabilidad1@lidercell.net,Corporativo Empresarial,lidercell.net,LIDERCELL JE S.A.S.,IMBABURA,IBARRA
contabilidad1@mediclinegroup.com,Corporativo Empresarial,mediclinegroup.com,,,
contabilidad1@oceansecurity.net,Corporativo Empresarial,oceansecurity.net,OCEANSECURITY C. LTDA.,GUAYAS,GUAYAQUIL
contabilidad1@qts.com.ec,Corporativo Empresarial,qts.com.ec,,,
contabilidad1@qualisa.com,Corporativo Empresarial,qualisa.com,QUALITY SERVICE QUALISA S.A.S.,PICHINCHA,QUITO
contabilidad1@supvent.com.ec,Corporativo Empresarial,supvent.com.ec,SUPER VENTAS SUPVENT CIA.LTDA.,GUAYAS,ELOY ALFARO (DURAN)
contabilidad1@vasconezyvasconez.com,Corporativo Empresarial,vasconezyvasconez.com,,,
contabilidad1@zcmayoristas.com,Corporativo Empresarial,zcmayoristas.com,,,
contabilidad2@atyco.com.ec,Corporativo Empresarial,atyco.com.ec,,,
contabilidad2@bateriasdacar.com,Corporativo Empresarial,bateriasdacar.com,,,
contabilidad2@campus-trekking.com,Corporativo Empresarial,campus-trekking.com,,,
contabilidad2@corbal.com.ec,Corporativo Empresarial,corbal.com.ec,INMOBILIARIA INTERNACIONAL CORBAL C LTDA,PICHINCHA,QUITO
contabilidad2@halianza.com,Corporativo Empresarial,halianza.com,,,
contabilidad2@i2e.com.ec,Corporativo Empresarial,i2e.com.ec,,,
contabilidad2@jugaldej.com,Corporativo Empresarial,jugaldej.com,,,
contabilidad2@metromodal.grcal.com,Corporativo Empresarial,metromodal.grcal.com,METROMODAL S.A.,GUAYAS,GUAYAQUIL
contabilidad2@mundoverde.com.ec,Corporativo Empresarial,mundoverde.com.ec,MUNDOVERDE M.D.R.R. S.A.,GUAYAS,GUAYAQUIL
contabilidad2@officesoluciones.com,Corporativo Empresarial,officesoluciones.com,OFFICESOLUCIONES CIA. LTDA.,AZUAY,CUENCA
contabilidad3@brightcell.net,Corporativo Empresarial,brightcell.net,COMPAÑIA BRIGHTCELL S.A,PICHINCHA,QUITO
contabilidad3@fishdive.ec,Corporativo Empresarial,fishdive.ec,,,
contabilidad3@grafisum.com,Corporativo Empresarial,grafisum.com,GRAFICAS Y SUMINISTROS GRAFISUM CIA. LTDA.,AZUAY,CUENCA
contabilidad3@milboots.com,Corporativo Empresarial,milboots.com,MILBOOTS CIA. LTDA.,TUNGURAHUA,AMBATO
contabilidad3@neoethicals.com.ec,Corporativo Empresarial,neoethicals.com.ec,NEOETHICALS CIA. LTDA.,PICHINCHA,QUITO
contabilidad3@officesoluciones.com,Corporativo Empresarial,officesoluciones.com,OFFICESOLUCIONES CIA. LTDA.,AZUAY,CUENCA
contabilidad3@vasconezyvasconez.com,Corporativo Empresarial,vasconezyvasconez.com,,,
contabilidad3@visitaecuador.com,Corporativo Empresarial,visitaecuador.com,,,
contabilidad4@angloecuatoriana.com,Corporativo Empresarial,angloecuatoriana.com,,,
contabilidad4@equindeca.com,Corporativo Empresarial,equindeca.com,SOLUCIONES PARA HOTELERIA Y GASTRONOMIA EQUINDECA CIA. LTDA.,AZUAY,CUENCA
contabilidad4@sismeing.com,Corporativo Empresarial,sismeing.com,SISMEING SISTEMAS MECANICOS E INGENIERIA S.A.,GUAYAS,GUAYAQUIL
contabilidad5@raulcoka.com,Corporativo Empresarial,raulcoka.com,,,
contabilidad9@tecninoxsa.com.ec,Corporativo Empresarial,tecninoxsa.com.ec,TECNICAS INOXIDABLES TECNINOXSA S.A.,GUAYAS,GUAYAQUIL
contabilidad@593security.com,Corporativo Empresarial,593security.com,,,
contabilidad@acepromet.com.ec,Corporativo Empresarial,acepromet.com.ec,,,
contabilidad@activaseguros.com,Corporativo Empresarial,activaseguros.com,,,
contabilidad@actualitytravel.com,Corporativo Empresarial,actualitytravel.com,,,
contabilidad@adventurejourneys.com,Corporativo Empresarial,adventurejourneys.com,OPERADORA DE TURISMO ADVENTURE JOURNEYS ADVENTUREJOURNEYS CIA.LTDA.,PICHINCHA,QUITO
contabilidad@agearthecuador.org,Corporativo Empresarial,agearthecuador.org,L.Y.M.S. CONSULTORES S.A.,,
contabilidad@agronatura.com.ec,Corporativo Empresarial,agronatura.com.ec,,,
contabilidad@agrorganicasa.com,Corporativo Empresarial,agrorganicasa.com,,,
contabilidad@agroserviciosandinos.com,Corporativo Empresarial,agroserviciosandinos.com,,,
contabilidad@agrosoft.com,Corporativo Empresarial,agrosoft.com,AGROSOFT S.A.,GUAYAS,GUAYAQUIL
contabilidad@aguimor.com,Corporativo Empresarial,aguimor.com,IMPORTADORA AGUIMOR S.A.,GUAYAS,GUAYAQUIL
contabilidad@ahcorporate.com,Corporativo Empresarial,ahcorporate.com,,,
contabilidad@ajuscoecuador.com,Corporativo Empresarial,ajuscoecuador.com,,,
contabilidad@aldanempres.com,Corporativo Empresarial,aldanempres.com,ALDANEMPRES CIA. LTDA.,PICHINCHA,CAYAMBE
contabilidad@alexismejia.com,Corporativo Empresarial,alexismejia.com,,,
contabilidad@almaroses.com,Corporativo Empresarial,almaroses.com,,,
contabilidad@almonecuador.com,Corporativo Empresarial,almonecuador.com,,,
contabilidad@amazingtour.com.ec,Corporativo Empresarial,amazingtour.com.ec,,,
contabilidad@andeantc.com,Corporativo Empresarial,andeantc.com,,,
contabilidad@anniroses.com,Corporativo Empresarial,anniroses.com,,,
contabilidad@apcsaecuador.org,Corporativo Empresarial,apcsaecuador.org,,,
contabilidad@aquamarket.com.ec,Corporativo Empresarial,aquamarket.com.ec,AQUAMARKET S.A.,GUAYAS,GUAYAQUIL
contabilidad@arieltravel.com,Corporativo Empresarial,arieltravel.com,ARIELTRAVEL CIA.LTDA,MANABI,MANTA
contabilidad@arista.ec,Corporativo Empresarial,arista.ec,ARISTA JC S.A.S.,PICHINCHA,QUITO
contabilidad@arkitrust.com,Corporativo Empresarial,arkitrust.com,ARKITRUST S.A.,GUAYAS,GUAYAQUIL
contabilidad@armijosromero.com.ec,Corporativo Empresarial,armijosromero.com.ec,,,
contabilidad@arquimagensa.com,Corporativo Empresarial,arquimagensa.com,,,
contabilidad@artepiso.com,Corporativo Empresarial,artepiso.com,,,
contabilidad@artesa.com.ec,Corporativo Empresarial,artesa.com.ec,ARTESA CIA. LTDA,AZUAY,CUENCA
contabilidad@artirel.com,Corporativo Empresarial,artirel.com,,,
contabilidad@asismed.ec,Corporativo Empresarial,asismed.ec,ASISMED S.A. AGENCIA ASESORA PRODUCTORA DE SEGUROS,GUAYAS,SAMBORONDÓN
contabilidad@auditamed.com,Corporativo Empresarial,auditamed.com,AUDITAMED S.A.,,
contabilidad@autocablesa.com,Corporativo Empresarial,autocablesa.com,AUTOCABLE S.A.,,
contabilidad@automekano.com,Corporativo Empresarial,automekano.com,AUTOMEKANO CIA. LTDA.,TUNGURAHUA,AMBATO
contabilidad@avecan.com.ec,Corporativo Empresarial,avecan.com.ec,AVECAN CONSTRUCCIONES CIVILES C. LTDA.,GUAYAS,SAMBORONDÓN
contabilidad@avilatrade.com,Corporativo Empresarial,avilatrade.com,,,
contabilidad@banaplast.com,Corporativo Empresarial,banaplast.com,PLASTICOS PARA BANANO BANAPLAST S.A.,EL ORO,MACHALA
contabilidad@bandasybandas.com,Corporativo Empresarial,bandasybandas.com,,,
contabilidad@batallas.com.ec,Corporativo Empresarial,batallas.com.ec,BATALLAS FINANCIAL CONSULTING CIA.LTDA.,PICHINCHA,QUITO
contabilidad@bedeschi.com.ec,Corporativo Empresarial,bedeschi.com.ec,BEDESCHI S.A.,GUAYAS,GUAYAQUIL
contabilidad@belech.com,Corporativo Empresarial,belech.com,BELECH FIRE & RESCUE CIA. LTDA.,PICHINCHA,QUITO
contabilidad@bellarosa.com,Corporativo Empresarial,bellarosa.com,,,
contabilidad@bestnegsa.com.ec,Corporativo Empresarial,bestnegsa.com.ec,BESTNEGSA S.A.,GUAYAS,GUAYAQUIL
contabilidad@bestseller-ec.com,Corporativo Empresarial,bestseller-ec.com,,,
contabilidad@biogrupo.com,Corporativo Empresarial,biogrupo.com,,,
contabilidad@birasol.com,Corporativo Empresarial,birasol.com,BIENES & RAICES BIRASOL S.A.,GUAYAS,GUAYAQUIL
contabilidad@brem.com.ec,Corporativo Empresarial,brem.com.ec,BREM CIA. LTDA.,PICHINCHA,QUITO
contabilidad@bruguesa.com,Corporativo Empresarial,bruguesa.com,DISEÑOS DE SISTEMAS DE CLIMATIZACION BRUGUESA S.A.,GUAYAS,GUAYAQUIL
contabilidad@buentrip.net,Corporativo Empresarial,buentrip.net,,,
contabilidad@cable-wireless.net,Corporativo Empresarial,cable-wireless.net,,,
contabilidad@caceresdiesel.com,Corporativo Empresarial,caceresdiesel.com,,,
contabilidad@cacpeg.fin.ec,Corporativo Empresarial,cacpeg.fin.ec,,,
contabilidad@cafe-gardella.com,Corporativo Empresarial,cafe-gardella.com,,,
contabilidad@calmetrosa.com,Corporativo Empresarial,calmetrosa.com,,,
contabilidad@calser.com.ec,Corporativo Empresarial,calser.com.ec,CALDERAS Y SERVICIOS DEL ECUADOR CALSER SA,PICHINCHA,QUITO
contabilidad@capia.com.ec,Corporativo Empresarial,capia.com.ec,,,
contabilidad@cargologic.com.ec,Corporativo Empresarial,cargologic.com.ec,"CARGOLOGIC, CARGA LOGISTICA S.A.",GUAYAS,SAMBORONDÓN
contabilidad@caritasecuador.org,Corporativo Empresarial,caritasecuador.org,,,
contabilidad@cavalini-ec.com,Corporativo Empresarial,cavalini-ec.com,,,
contabilidad@celoplast.com.ec,Corporativo Empresarial,celoplast.com.ec,CELOPLAST S.A.,GUAYAS,GUAYAQUIL
contabilidad@ceresfarms.com,Corporativo Empresarial,ceresfarms.com,CERESFARMS CIA. LTDA.,PICHINCHA,TABACUNDO
contabilidad@certus.ec,Corporativo Empresarial,certus.ec,CONSULTORES-CERTUS S.A.,GUAYAS,GUAYAQUIL
contabilidad@certusbrokers.com,Corporativo Empresarial,certusbrokers.com,,,
contabilidad@chevyseguro.com,Corporativo Empresarial,chevyseguro.com,,,
contabilidad@chezjeromerestaurante.com,Corporativo Empresarial,chezjeromerestaurante.com,,,
contabilidad@chivit.ec,Corporativo Empresarial,chivit.ec,,,
contabilidad@cierpronti.com.ec,Corporativo Empresarial,cierpronti.com.ec,CIERPRONTI S.A.,GUAYAS,ELOY ALFARO (DURAN)
contabilidad@cleanstar.com.ec,Corporativo Empresarial,cleanstar.com.ec,CLEANSTAR S.A.,GUAYAS,GUAYAQUIL
contabilidad@clinicaaguilar.com,Corporativo Empresarial,clinicaaguilar.com,,,
contabilidad@clinicadelamujer.com.ec,Corporativo Empresarial,clinicadelamujer.com.ec,,,
contabilidad@clubbuzzom.com,Corporativo Empresarial,clubbuzzom.com,CLUB BUZZOM S.A. BUCLUB,,
contabilidad@cofinacocoa.com,Corporativo Empresarial,cofinacocoa.com,,,
contabilidad@comerquim.com.ec,Corporativo Empresarial,comerquim.com.ec,COMERCIALIZADORA QUIMICA COMERQUIM CIA. LTDA.,GUAYAS,GUAYAQUIL
contabilidad@comiexpress.com,Corporativo Empresarial,comiexpress.com,SERVICIOS DE ALIMENTACION COMIEXPRESS CIA. LTDA.,GUAYAS,GUAYAQUIL
contabilidad@compuhelp.com.ec,Corporativo Empresarial,compuhelp.com.ec,COMPUHELP S.A.,GUAYAS,GUAYAQUIL
contabilidad@comsatel.com.ec,Corporativo Empresarial,comsatel.com.ec,COMSATEL S.A.,GUAYAS,SAMBORONDÓN
contabilidad@concrazul.com,Corporativo Empresarial,concrazul.com,CONSTRUCTORA CRUZ AZUL CONCRAZUL S.A.,GUAYAS,GUAYAQUIL
contabilidad@condimaqsa.com,Corporativo Empresarial,condimaqsa.com,CODIFICADORA Y MAQUINARIAS CONDIMAQSA S.A.,GUAYAS,GUAYAQUIL
contabilidad@conduseg.net,Corporativo Empresarial,conduseg.net,CONDUSEG S.A.S.,IMBABURA,ATUNTAQUI
contabilidad@conetecliman.com,Corporativo Empresarial,conetecliman.com,CONTROL Y EJECUCIÓN TECNICA DE LIMPIEZA Y MANTENIMIENTO CONETECLIMAN CIA. LTDA.,AZUAY,CUENCA
contabilidad@conirisks.com,Corporativo Empresarial,conirisks.com,CONIRISKS S.A. INSPECTOR DE RIESGOS,GUAYAS,GUAYAQUIL
contabilidad@construme.com,Corporativo Empresarial,construme.com,CONSTRUCCIONES CIVILES Y METALICAS CONSTRUME S.A.,GUAYAS,GUAYAQUIL
contabilidad@consulfran.com.ec,Corporativo Empresarial,consulfran.com.ec,CONSULFRAN S.A.,GUAYAS,GUAYAQUIL
contabilidad@contigoseguros.com.ec,Corporativo Empresarial,contigoseguros.com.ec,CONTIGOSEGUROS S.A.,GUAYAS,GUAYAQUIL
contabilidad@coopartesanos.fin.ec,Corporativo Empresarial,coopartesanos.fin.ec,,,
contabilidad@copifull.com,Corporativo Empresarial,copifull.com,COPIFULL SERVICIOS DIGITALES CIA. LTDA,PICHINCHA,QUITO
contabilidad@corpmaster.net,Corporativo Empresarial,corpmaster.net,CORPMASTER S.A.,GUAYAS,GUAYAQUIL
contabilidad@corporaciongomez.com,Corporativo Empresarial,corporaciongomez.com,,,
contabilidad@corpoviajes.com,Corporativo Empresarial,corpoviajes.com,CORPOVIAJES CIA. LTDA.,AZUAY,CUENCA
contabilidad@cosmoseg.com,Corporativo Empresarial,cosmoseg.com,COSMOSEG - SEGURIDAD PRIVADA C. LTDA.,GUAYAS,GUAYAQUIL
contabilidad@costaline.com.ec,Corporativo Empresarial,costaline.com.ec,CHARTERLINE S.A.,,
contabilidad@covinhar.com,Corporativo Empresarial,covinhar.com,COVINHAR CIA. LTDA.,PICHINCHA,QUITO
contabilidad@creamedios.com.ec,Corporativo Empresarial,creamedios.com.ec,SERVICIOS PUBLICITARIOS CREAMEDIOS S.A.,PICHINCHA,CUMBAYÁ
contabilidad@cyepezm.com,Corporativo Empresarial,cyepezm.com,,,
contabilidad@cymelectro.com,Corporativo Empresarial,cymelectro.com,CYMELECTRO CIA. LTDA.,PICHINCHA,QUITO
contabilidad@damosseguros.com,Corporativo Empresarial,damosseguros.com,,,
contabilidad@daprisfashion.com,Corporativo Empresarial,daprisfashion.com,DAPRIS FASHION S.A.,,
contabilidad@darvitur.com,Corporativo Empresarial,darvitur.com,,,
contabilidad@davinciroses.com,Corporativo Empresarial,davinciroses.com,DAVINCIROSES EXPORTACIONES CIA. LTDA.,PICHINCHA,TABACUNDO
contabilidad@davmercorp.com,Corporativo Empresarial,davmercorp.com,DAVMERCORP S.A.,GUAYAS,GUAYAQUIL
contabilidad@davos.com.ec,Corporativo Empresarial,davos.com.ec,,,
contabilidad@delrio.com.ec,Corporativo Empresarial,delrio.com.ec,CONSTRUCCIONES CIVILES Y DISEÑOS DELRIO S.A.,GUAYAS,ELOY ALFARO (DURAN)
contabilidad@deltaglobal.com.ec,Corporativo Empresarial,deltaglobal.com.ec,DELTAGLOBAL S.A.,GUAYAS,GUAYAQUIL
contabilidad@deltaplastic.com.ec,Corporativo Empresarial,deltaplastic.com.ec,,,
contabilidad@destinosmundiales.com.ec,Corporativo Empresarial,destinosmundiales.com.ec,,,
contabilidad@diagraph.com.ec,Corporativo Empresarial,diagraph.com.ec,DIAGRAPH S.A.,GUAYAS,GUAYAQUIL
contabilidad@dicem.com.ec,Corporativo Empresarial,dicem.com.ec,DISTRIBUCIONES Y COMERCIO ESPINOZA & MANZANO DICEM CIA. LTDA.,AZUAY,CUENCA
contabilidad@dicresa.com,Corporativo Empresarial,dicresa.com,DICRESA-GROUP S.A.,GUAYAS,GUAYAQUIL
contabilidad@dircotsp.com,Corporativo Empresarial,dircotsp.com,DIRCOTSP DISTRIBUIDORA Y COMERCIALIZADORA TECHNOLOGY SOLUTION PROVIDER S.A.,PICHINCHA,CALDERÓN (CARAPUNGO)
contabilidad@disgranco.com,Corporativo Empresarial,disgranco.com,DISGRANCO CIA. LTDA.,PICHINCHA,QUITO
contabilidad@disinsa.com,Corporativo Empresarial,disinsa.com,CORPORACION DISINSA S.A.,,
contabilidad@disther.com,Corporativo Empresarial,disther.com,FABRICA DE DILUYENTES Y ADHESIVOS DISTHER C.LTDA. (DISTHER),GUAYAS,GUAYAQUIL
contabilidad@diverse.com.ec,Corporativo Empresarial,diverse.com.ec,DIVERSE S.A.S.,ESMERALDAS,ROSA ZARATE (QUININDÉ)
contabilidad@dizambro.com,Corporativo Empresarial,dizambro.com,DIZAMBRO C. LTDA.,GUAYAS,GUAYAQUIL
contabilidad@dulceycremoso.com,Corporativo Empresarial,dulceycremoso.com,DULCREMO S.A.,,
contabilidad@duralum.com.ec,Corporativo Empresarial,duralum.com.ec,DURALUM S.A.,GUAYAS,ELOY ALFARO (DURAN)
contabilidad@dymtravel.com,Corporativo Empresarial,dymtravel.com,DYMTRAVEL & TOURS S.A.,MANABI,PORTOVIEJO
contabilidad@ec.sacoshipping.com,Corporativo Empresarial,ec.sacoshipping.com,,,
contabilidad@ecl.com.ec,Corporativo Empresarial,ecl.com.ec,,,
contabilidad@ecuadorkitesurf.com,Corporativo Empresarial,ecuadorkitesurf.com,ECUADORKITESURF S.A.,MANABI,MANTA
contabilidad@ecuadortreasure.com,Corporativo Empresarial,ecuadortreasure.com,,,
contabilidad@ecuatepi.com,Corporativo Empresarial,ecuatepi.com,CONSORCIO ECUATEPI ECUATEPISA S.A.S.,PICHINCHA,QUITO
contabilidad@ecuatorianflower.com,Corporativo Empresarial,ecuatorianflower.com,,,
contabilidad@ecuhouse.com,Corporativo Empresarial,ecuhouse.com,ECUHOUSE S.A.,COTOPAXI,LATACUNGA
contabilidad@edificiocentrum.com,Corporativo Empresarial,edificiocentrum.com,,,
contabilidad@eivinueza.com.ec,Corporativo Empresarial,eivinueza.com.ec,,,
contabilidad@elcafedetere.com,Corporativo Empresarial,elcafedetere.com,,,
contabilidad@eldoradohotel.com.ec,Corporativo Empresarial,eldoradohotel.com.ec,,,
contabilidad@elecna.net,Corporativo Empresarial,elecna.net,"ELECTRONICA NACIONAL, ELECNA C. LTDA.",GUAYAS,GUAYAQUIL
contabilidad@electroinstalaciones.com.ec,Corporativo Empresarial,electroinstalaciones.com.ec,,,
contabilidad@electronicnaval.com,Corporativo Empresarial,electronicnaval.com,,,
contabilidad@elhornero.com.ec,Corporativo Empresarial,elhornero.com.ec,,,
contabilidad@eliatours.com,Corporativo Empresarial,eliatours.com,,,
contabilidad@elsabor.com.ec,Corporativo Empresarial,elsabor.com.ec,IMPORTADORA Y DISTRIBUIDORA DE ALIMENTOS S.A. IMPIDALSA,,
contabilidad@emihana.com.ec,Corporativo Empresarial,emihana.com.ec,EMIHANA CIA. LTDA.,PICHINCHA,CAYAMBE
contabilidad@emprencorp.com,Corporativo Empresarial,emprencorp.com,INTEGRADORA DE NEGOCIOS EMPRENCORP S.A.,GUAYAS,SAMBORONDÓN
contabilidad@endemico.com.ec,Corporativo Empresarial,endemico.com.ec,,,
contabilidad@enjoy-media.com,Corporativo Empresarial,enjoy-media.com,,,
contabilidad@ensamblajes.com.ec,Corporativo Empresarial,ensamblajes.com.ec,"LA SUPER, ENSAMBLAJES PUERTAS ENROLLABLES S.A.",GUAYAS,GUAYAQUIL
contabilidad@enspire.ec,Corporativo Empresarial,enspire.ec,,,
contabilidad@equinoccialadventure.com,Corporativo Empresarial,equinoccialadventure.com,,,
contabilidad@equipagua.com.ec,Corporativo Empresarial,equipagua.com.ec,,,
contabilidad@equipomedico.com.ec,Corporativo Empresarial,equipomedico.com.ec,,,
contabilidad@equitransa.com.ec,Corporativo Empresarial,equitransa.com.ec,EQUIPOS Y TRANSPORTES S.A. EQUITRANSA,GUAYAS,GUAYAQUIL
contabilidad@espacioscomerciales-ec.com,Corporativo Empresarial,espacioscomerciales-ec.com,ESPECU ESPACIOS COMERCIALES DEL ECUADOR S.A.,,
contabilidad@espacri.com,Corporativo Empresarial,espacri.com,IMPORTACIONES ESPACRI CIA. LTDA.,AZUAY,CUENCA
contabilidad@etiquetasflexoprint.com,Corporativo Empresarial,etiquetasflexoprint.com,GLOBALFLEX C. LTDA.,,
contabilidad@evergrand.ec,Corporativo Empresarial,evergrand.ec,EVERGRAND CIA.LTDA.,GUAYAS,GUAYAQUIL
contabilidad@exorban.ec,Corporativo Empresarial,exorban.ec,EXORBAN S.A.,EL ORO,SANTA ROSA
contabilidad@explastsa.com,Corporativo Empresarial,explastsa.com,,,
contabilidad@fantasiasvera.com.ec,Corporativo Empresarial,fantasiasvera.com.ec,,,
contabilidad@fapecafes.org.ec,Corporativo Empresarial,fapecafes.org.ec,,,
contabilidad@feyalegria.org.ec,Corporativo Empresarial,feyalegria.org.ec,,,
contabilidad@fisagrp.com,Corporativo Empresarial,fisagrp.com,,,
contabilidad@flexokore.com,Corporativo Empresarial,flexokore.com,,,
contabilidad@foch.bandidosdelparamo.com,Corporativo Empresarial,foch.bandidosdelparamo.com,FOCH INTERNATIONAL S.A.S.,GUAYAS,GUAYAQUIL
contabilidad@formacreativa.com.ec,Corporativo Empresarial,formacreativa.com.ec,,,
contabilidad@fotomaxvisas.com,Corporativo Empresarial,fotomaxvisas.com,,,
contabilidad@gabalmir.com,Corporativo Empresarial,gabalmir.com,GABALMIR S.A.,MANABI,MANTA
contabilidad@galvanoonline.ec,Corporativo Empresarial,galvanoonline.ec,,,
contabilidad@gamaliz.com,Corporativo Empresarial,gamaliz.com,INDUSTRIAS DE CONFECCION GAMALIZ C. LTDA.,,
contabilidad@garvelsa.com,Corporativo Empresarial,garvelsa.com,"GARCIA & VELEZ, EQUIPOS AGROINDUSTRIALES S.A. (GARVELSA)",GUAYAS,GUAYAQUIL
contabilidad@gbtours.ec,Corporativo Empresarial,gbtours.ec,,,
contabilidad@geoestudios.com.ec,Corporativo Empresarial,geoestudios.com.ec,ESTRATO GEOESTUDIOS & LABORATORIO S.A.S.,PICHINCHA,QUITO
contabilidad@geroneto.com,Corporativo Empresarial,geroneto.com,GERONIMO ONETO GERONETO SA,GUAYAS,GUAYAQUIL
contabilidad@globaluni.com.ec,Corporativo Empresarial,globaluni.com.ec,GLOBALUNI S.A.,PICHINCHA,QUITO
contabilidad@glosuresa.com,Corporativo Empresarial,glosuresa.com,,,
contabilidad@gmdigitalecuador.com,Corporativo Empresarial,gmdigitalecuador.com,,,
contabilidad@gms.com,Corporativo Empresarial,gms.com,,,
contabilidad@gms.com.ec,Corporativo Empresarial,gms.com.ec,,,
contabilidad@gonzalez.com.ec,Corporativo Empresarial,gonzalez.com.ec,GONZALEZ & CHOEZ GCHMINING S.A.S.,GUAYAS,GUAYAQUIL
contabilidad@gozaespresso.com,Corporativo Empresarial,gozaespresso.com,,,
contabilidad@grupo-arbusta.com,Corporativo Empresarial,grupo-arbusta.com,,,
contabilidad@grupoaulestia.com,Corporativo Empresarial,grupoaulestia.com,,,
contabilidad@grupobarlovento.com,Corporativo Empresarial,grupobarlovento.com,,,
contabilidad@grupolider.com.ec,Corporativo Empresarial,grupolider.com.ec,,,
